"date","cum.cases","cum.deaths","inc.cases","inc.deaths","no.tests"
2020-03-03,0,0,0,0,"25"
2020-03-04,1,0,1,0,"92"
2020-03-05,1,0,0,0,"179"
2020-03-06,5,0,4,0,"0"
2020-03-07,6,0,1,0,"299"
2020-03-08,11,0,5,0,"230"
2020-03-09,17,0,6,0,"246"
2020-03-10,22,0,5,0,"394"
2020-03-11,31,0,9,0,"210"
2020-03-12,51,1,20,1,"655"
2020-03-13,68,2,17,1,"1525"
2020-03-14,104,3,36,1,"1079"
2020-03-15,125,3,21,0,"0"
2020-03-16,177,4,52,1,"2406"
2020-03-17,238,5,61,1,"1616"
2020-03-18,287,5,49,0,"1681"
2020-03-19,355,5,68,0,"1876"
2020-03-20,425,5,70,0,"2012"
2020-03-21,536,5,111,0,"2523"
2020-03-22,634,7,98,2,"2520"
2020-03-23,749,8,115,1,"2771"
2020-03-24,901,10,152,2,"3346"
2020-03-25,1051,13,150,3,"3320"
2020-03-26,1221,16,170,3,"4503"
2020-03-27,1389,16,168,0,"4607"
2020-03-28,1638,18,249,2,"4109"
2020-03-29,1862,22,224,4,"3824"
2020-03-30,2055,31,193,9,"4812"
2020-03-31,2311,33,256,2,"4382"
2020-04-01,2554,43,243,10,"5377"
2020-04-02,2946,57,392,14,"5760"
2020-04-03,3383,71,437,14,"5963"
2020-04-04,3627,79,244,8,"7856"
2020-04-05,4102,94,475,15,"4710"
2020-04-06,4413,107,311,13,"6748"
2020-04-07,4848,129,435,22,"7069"
2020-04-08,5205,158,357,29,"8313"
2020-04-09,5575,174,370,16,"10698"
2020-04-10,5955,181,380,7,"11265"
2020-04-11,6356,208,401,27,"8447"
2020-04-12,6674,232,318,24,"5623"
2020-04-13,6932,245,258,13,"4691"
2020-04-14,7202,263,270,18,"8172"
2020-04-15,7582,286,380,23,"12578"
2020-04-16,7918,314,336,28,"10583"
2020-04-17,8375,332,457,18,"13306"
2020-04-18,8709,347,334,15,"11286"
2020-04-19,9224,360,515,13,"9990"
2020-04-20,9530,380,306,20,"10119"
2020-04-21,9793,400,263,20,"14444"
2020-04-22,10106,425,313,25,"11920"
2020-04-23,10448,453,342,28,"14482"
2020-04-24,10829,493,381,40,"13793"
2020-04-25,11210,523,381,30,"11639"
2020-04-26,11554,535,344,12,"7226"
2020-04-27,11839,561,285,26,"12885"
2020-04-28,12155,595,316,34,"13783"
2020-04-29,12577,623,422,28,"13500"
2020-04-30,12877,643,300,20,"16601"
2020-05-01,13105,650,228,7,"11385"
2020-05-02,13375,662,270,12,"9935"
2020-05-03,13693,677,318,15,"7856"
2020-05-04,14006,696,313,19,"10466"
2020-05-05,14412,715,406,19,"16198"
2020-05-06,14723,733,311,18,"15526"
2020-05-07,15026,755,303,22,"17512"
2020-05-08,15363,775,337,20,"17180"
2020-05-09,15651,784,288,9,"16218"
2020-05-10,15996,799,345,15,"14312"
2020-05-11,16326,810,330,11,"16560"
2020-05-12,16882,838,556,28,"20346"
2020-05-13,17204,861,322,23,"26235"
2020-05-14,17615,883,411,22,"21919"
2020-05-15,18016,907,401,24,"25118"
2020-05-16,18257,915,241,8,"18855"
2020-05-17,18529,925,272,10,"15797"
2020-05-18,18885,936,356,11,"17178"
2020-05-19,19268,948,383,12,"21637"
2020-05-20,19739,962,471,14,"NA"
